"hgnc_id"	"symbol"	"name"	"alias_symbol"	"prev_symbol"	"locus_group"
"HGNC:5"	"A1BG"	"alpha-1-B glycoprotein"	""	""	"protein-coding gene"
"HGNC:37133"	"A1BG-AS1"	"A1BG antisense RNA 1"	"FLJ23569"	"NCRNA00181|A1BGAS|A1BG-AS"	"non-coding RNA"
"HGNC:24086"	"A1CF"	"APOBEC1 complementation factor"	"ACF|ASP|ACF64|ACF65|APOBEC1CF"	""	"protein-coding gene"
"HGNC:7"	"A2M"	"alpha-2-macroglobulin"	"FWP007|S863-7|CPAMD5"	""	"protein-coding gene"
"HGNC:27057"	"A2M-AS1"	"A2M antisense RNA 1"	""	""	"non-coding RNA"
"HGNC:23336"	"A2ML1"	"alpha-2-macroglobulin like 1"	"FLJ25179|p170"	"CPAMD9"	"protein-coding gene"
"HGNC:41022"	"A2ML1-AS1"	"A2ML1 antisense RNA 1"	""	""	"non-coding RNA"
"HGNC:41523"	"A2ML1-AS2"	"A2ML1 antisense RNA 2"	""	""	"non-coding RNA"
"HGNC:30005"	"A3GALT2"	"alpha 1,3-galactosyltransferase 2"	"IGBS3S|IGB3S"	"A3GALT2P"	"protein-coding gene"
"HGNC:18149"	"A4GALT"	"alpha 1,4-galactosyltransferase (P1PK blood group)"	"A14GALT|Gb3S|P(k)"	"P1"	"protein-coding gene"
"HGNC:17968"	"A4GNT"	"alpha-1,4-N-acetylglucosaminyltransferase"	"alpha4GnT"	""	"protein-coding gene"
"HGNC:13666"	"AAAS"	"aladin WD repeat nucleoporin"	""	""	"protein-coding gene"
"HGNC:21298"	"AACS"	"acetoacetyl-CoA synthetase"	"FLJ12389|SUR-5|ACSF1"	""	"protein-coding gene"
"HGNC:18226"	"AACSP1"	"acetoacetyl-CoA synthetase pseudogene 1"	""	"AACSL"	"pseudogene"
"HGNC:17"	"AADAC"	"arylacetamide deacetylase"	"DAC|CES5A1"	""	"protein-coding gene"
"HGNC:24427"	"AADACL2"	"arylacetamide deacetylase like 2"	"MGC72001"	""	"protein-coding gene"
"HGNC:50301"	"AADACL2-AS1"	"AADACL2 antisense RNA 1"	""	""	"non-coding RNA"
"HGNC:32037"	"AADACL3"	"arylacetamide deacetylase like 3"	"OTTHUMG00000001887"	""	"protein-coding gene"
"HGNC:32038"	"AADACL4"	"arylacetamide deacetylase like 4"	"OTTHUMG00000001889"	""	"protein-coding gene"
"HGNC:50305"	"AADACP1"	"arylacetamide deacetylase pseudogene 1"	""	""	"pseudogene"
"HGNC:17929"	"AADAT"	"aminoadipate aminotransferase"	"KATII|KAT2|KYAT2"	""	"protein-coding gene"
"HGNC:25662"	"AAGAB"	"alpha and gamma adaptin binding protein"	"FLJ11506|p34"	""	"protein-coding gene"
"HGNC:19679"	"AAK1"	"AP2 associated kinase 1"	"KIAA1048|DKFZp686K16132"	""	"protein-coding gene"
"HGNC:30205"	"AAMDC"	"adipogenesis associated Mth938 domain containing"	"PTD015|FLJ21035|CK067"	"C11orf67"	"protein-coding gene"
"HGNC:18"	"AAMP"	"angio associated migratory cell protein"	""	""	"protein-coding gene"
"HGNC:19"	"AANAT"	"aralkylamine N-acetyltransferase"	"SNAT"	""	"protein-coding gene"
"HGNC:15886"	"AAR2"	"AAR2 splicing factor"	"bA234K24.2"	"C20orf4"	"protein-coding gene"
"HGNC:33842"	"AARD"	"alanine and arginine rich domain containing protein"	"LOC441376"	"C8orf85"	"protein-coding gene"
"HGNC:20"	"AARS1"	"alanyl-tRNA synthetase 1"	"CMT2N|AlaRS"	"AARS"	"protein-coding gene"
"HGNC:49894"	"AARS1P1"	"alanyl-tRNA synthetase 1 pseudogene 1"	""	"AARSP1"	"pseudogene"
"HGNC:21022"	"AARS2"	"alanyl-tRNA synthetase 2, mitochondrial"	"KIAA1270|bA444E17.1"	"AARSL"	"protein-coding gene"
"HGNC:28417"	"AARSD1"	"alanyl-tRNA synthetase domain containing 1"	"MGC2744|AlaXp"	""	"protein-coding gene"
"HGNC:54994"	"AARSD1P1"	"AARSD1 pseudogene 1"	""	""	"pseudogene"
"HGNC:23993"	"AASDH"	"aminoadipate-semialdehyde dehydrogenase"	"NRPS998|LYS2|ACSF4"	""	"protein-coding gene"
"HGNC:58795"	"AASDH-DT"	"AASDH divergent transcript"	""	""	"non-coding RNA"
"HGNC:14235"	"AASDHPPT"	"aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase"	"LYS5|CGI-80|AASD-PPT|ACPS"	""	"protein-coding gene"
"HGNC:58262"	"AASDHPPT-AS1"	"AASDHPPT antisense RNA 1"	""	""	"non-coding RNA"
"HGNC:17366"	"AASS"	"aminoadipate-semialdehyde synthase"	"LORSDH|LKRSDH|LKR/SDH"	""	"protein-coding gene"
"HGNC:51526"	"AATBC"	"apoptosis associated transcript in bladder cancer"	""	""	"non-coding RNA"
"HGNC:19235"	"AATF"	"apoptosis antagonizing transcription factor"	"DED|CHE-1|CHE1|BFR2"	""	"protein-coding gene"
"HGNC:22"	"AAVS1"	"adeno-associated virus integration site 1"	"AAV"	""	"other"
"HGNC:23"	"ABAT"	"4-aminobutyrate aminotransferase"	"GABAT|GABA-T"	""	"protein-coding gene"
"HGNC:29"	"ABCA1"	"ATP binding cassette subfamily A member 1"	"TGD"	"ABC1|HDLDT1"	"protein-coding gene"
"HGNC:32"	"ABCA2"	"ATP binding cassette subfamily A member 2"	""	"ABC2"	"protein-coding gene"
"HGNC:33"	"ABCA3"	"ATP binding cassette subfamily A member 3"	"ABC-C|EST111653|LBM180"	"ABC3"	"protein-coding gene"
"HGNC:34"	"ABCA4"	"ATP binding cassette subfamily A member 4"	"FFM|ARMD2|CORD3"	"STGD1|ABCR|RP19|STGD"	"protein-coding gene"
"HGNC:35"	"ABCA5"	"ATP binding cassette subfamily A member 5"	"EST90625"	""	"protein-coding gene"
"HGNC:36"	"ABCA6"	"ATP binding cassette subfamily A member 6"	"EST155051"	""	"protein-coding gene"
"HGNC:37"	"ABCA7"	"ATP binding cassette subfamily A member 7"	"ABCX"	""	"protein-coding gene"
"HGNC:38"	"ABCA8"	"ATP binding cassette subfamily A member 8"	"KIAA0822"	""	"protein-coding gene"
"HGNC:39"	"ABCA9"	"ATP binding cassette subfamily A member 9"	"EST640918"	""	"protein-coding gene"
"HGNC:39983"	"ABCA9-AS1"	"ABCA9 antisense RNA 1"	""	""	"non-coding RNA"
"HGNC:30"	"ABCA10"	"ATP binding cassette subfamily A member 10"	"EST698739"	""	"protein-coding gene"
"HGNC:31"	"ABCA11P"	"ATP binding cassette subfamily A member 11, pseudogene"	"ABCA10P|EST1133530|FLJ14297"	"ABCA11"	"pseudogene"
"HGNC:14637"	"ABCA12"	"ATP binding cassette subfamily A member 12"	"DKFZP434G232|LI2"	"ICR2B"	"protein-coding gene"
"HGNC:14638"	"ABCA13"	"ATP binding cassette subfamily A member 13"	"FLJ33876|FLJ33951"	""	"protein-coding gene"
"HGNC:34405"	"ABCA15P"	"ATP binding cassette subfamily A member 15, pseudogene"	"ABCA15P1|FLJ41766"	"NCRNA00169|CRYM-AS1"	"pseudogene"
"HGNC:55707"	"ABCA16P"	"ATP binding cassette subfamily A member 16, pseudogene"	"ABCA15P2"	"ABCA3P1"	"pseudogene"
"HGNC:32972"	"ABCA17P"	"ATP binding cassette subfamily A member 17, pseudogene"	""	""	"pseudogene"
"HGNC:40"	"ABCB1"	"ATP binding cassette subfamily B member 1"	"P-gp|CD243|GP170|ABC20|p-170|PGY1"	"PGY1|MDR1|CLCS"	"protein-coding gene"
"HGNC:45"	"ABCB4"	"ATP binding cassette subfamily B member 4"	"MDR2|PFIC-3|GBD1"	"PGY3|MDR3"	"protein-coding gene"
"HGNC:59206"	"ABCB4P1"	"ABCB4 pseudogene 1"	""	""	"pseudogene"
"HGNC:46"	"ABCB5"	"ATP binding cassette subfamily B member 5"	"EST422562|ABCB5beta|ABCB5alpha"	""	"protein-coding gene"
"HGNC:47"	"ABCB6"	"ATP binding cassette subfamily B member 6 (LAN blood group)"	"EST45597|umat|MTABC3"	""	"protein-coding gene"
"HGNC:48"	"ABCB7"	"ATP binding cassette subfamily B member 7"	"EST140535|Atm1p|ASAT"	"ABC7"	"protein-coding gene"
"HGNC:49"	"ABCB8"	"ATP binding cassette subfamily B member 8"	"EST328128|M-ABC1|MABC1|MITOSUR"	""	"protein-coding gene"
"HGNC:50"	"ABCB9"	"ATP binding cassette subfamily B member 9"	"EST122234"	""	"protein-coding gene"
"HGNC:41"	"ABCB10"	"ATP binding cassette subfamily B member 10"	"EST20237|M-ABC2|MTABC2"	""	"protein-coding gene"
"HGNC:14114"	"ABCB10P1"	"ABCB10 pseudogene 1"	"M-ABC2|MABC2"	"ABCB10P|ABCB10P2"	"pseudogene"
"HGNC:31129"	"ABCB10P3"	"ABCB10 pseudogene 3"	""	""	"pseudogene"
"HGNC:31130"	"ABCB10P4"	"ABCB10 pseudogene 4"	""	""	"pseudogene"
"HGNC:42"	"ABCB11"	"ATP binding cassette subfamily B member 11"	"ABC16|SPGP|PFIC-2|PGY4"	"BSEP|PFIC2"	"protein-coding gene"
"HGNC:51"	"ABCC1"	"ATP binding cassette subfamily C member 1 (ABCC1 blood group)"	"GS-X"	"MRP|MRP1"	"protein-coding gene"
"HGNC:53"	"ABCC2"	"ATP binding cassette subfamily C member 2"	"DJS|MRP2|cMRP"	"CMOAT"	"protein-coding gene"
"HGNC:54"	"ABCC3"	"ATP binding cassette subfamily C member 3"	"MRP3|cMOAT2|EST90757|MLP2|MOAT-D"	""	"protein-coding gene"
"HGNC:55"	"ABCC4"	"ATP binding cassette subfamily C member 4 (PEL blood group)"	"MRP4|EST170205|MOAT-B|MOATB"	""	"protein-coding gene"
"HGNC:56"	"ABCC5"	"ATP binding cassette subfamily C member 5"	"MRP5|SMRP|EST277145|MOAT-C"	""	"protein-coding gene"
"HGNC:40055"	"ABCC5-AS1"	"ABCC5 antisense RNA 1"	""	""	"non-coding RNA"
"HGNC:57"	"ABCC6"	"ATP binding cassette subfamily C member 6"	"MRP6|EST349056|MLP1|URG7"	"ARA|PXE"	"protein-coding gene"
"HGNC:33352"	"ABCC6P1"	"ATP binding cassette subfamily C member 6 pseudogene 1"	""	""	"pseudogene"
"HGNC:33353"	"ABCC6P2"	"ATP binding cassette subfamily C member 6 pseudogene 2"	""	""	"pseudogene"
"HGNC:59"	"ABCC8"	"ATP binding cassette subfamily C member 8"	"HI|PHHI|SUR1|MRP8|ABC36|HHF1|TNDM2"	"SUR|HRINS"	"protein-coding gene"
"HGNC:60"	"ABCC9"	"ATP binding cassette subfamily C member 9"	"SUR2|CMD1O"	""	"protein-coding gene"
"HGNC:52"	"ABCC10"	"ATP binding cassette subfamily C member 10"	"EST182763|MRP7|SIMRP7"	""	"protein-coding gene"
"HGNC:14639"	"ABCC11"	"ATP binding cassette subfamily C member 11"	"MRP8"	""	"protein-coding gene"
"HGNC:14640"	"ABCC12"	"ATP binding cassette subfamily C member 12"	"MRP9"	""	"protein-coding gene"
"HGNC:16022"	"ABCC13"	"ATP binding cassette subfamily C member 13 (pseudogene)"	"PRED6|C21orf73|ABCC13P"	""	"pseudogene"
"HGNC:61"	"ABCD1"	"ATP binding cassette subfamily D member 1"	"AMN|ALDP|adrenoleukodystrophy"	"ALD"	"protein-coding gene"
"HGNC:62"	"ABCD1P1"	"ATP binding cassette subfamily D member 1 pseudogene 1"	""	""	"pseudogene"
"HGNC:63"	"ABCD1P2"	"ATP binding cassette subfamily D member 1 pseudogene 2"	"bA453N3.6"	""	"pseudogene"
"HGNC:64"	"ABCD1P3"	"ATP binding cassette subfamily D member 1 pseudogene 3"	""	""	"pseudogene"
"HGNC:65"	"ABCD1P4"	"ATP binding cassette subfamily D member 1 pseudogene 4"	""	""	"pseudogene"
"HGNC:42662"	"ABCD1P5"	"ATP binding cassette subfamily D member 1 pseudogene 5"	""	""	"pseudogene"
"HGNC:66"	"ABCD2"	"ATP binding cassette subfamily D member 2"	"ALDR|ALDRP"	"ALDL1"	"protein-coding gene"
"HGNC:67"	"ABCD3"	"ATP binding cassette subfamily D member 3"	"PMP70|ZWS2"	"PXMP1"	"protein-coding gene"
"HGNC:68"	"ABCD4"	"ATP binding cassette subfamily D member 4"	"PMP69|P70R|EST352188"	"PXMP1L"	"protein-coding gene"
"HGNC:69"	"ABCE1"	"ATP binding cassette subfamily E member 1"	"RLI|OABP|RLI1"	"RNASEL1|RNASELI|RNS4I"	"protein-coding gene"
"HGNC:58656"	"ABCE1P1"	"ABCE1 pseudogene 1"	"ABCE1P2"	""	"pseudogene"
"HGNC:58657"	"ABCE1P2"	"ABCE1 pseudogene 2"	""	""	"pseudogene"
"HGNC:58658"	"ABCE1P3"	"ABCE1 pseudogene 3"	""	""	"pseudogene"
"HGNC:70"	"ABCF1"	"ATP binding cassette subfamily F member 1"	"EST123147"	"ABC50"	"protein-coding gene"
"HGNC:53628"	"ABCF1-DT"	"ABCF1 divergent transcript"	""	""	"non-coding RNA"
"HGNC:71"	"ABCF2"	"ATP binding cassette subfamily F member 2"	"EST133090|ABC28|M-ABC1|HUSSY-18"	""	"protein-coding gene"
"HGNC:54751"	"ABCF2-H2BK1"	"ABCF2-H2BK1 readthrough"	""	"ABCF2-H2BE1"	"other"
"HGNC:48841"	"ABCF2P1"	"ATP binding cassette subfamily F member 2 pseudogene 1"	""	""	"pseudogene"
"HGNC:48842"	"ABCF2P2"	"ATP binding cassette subfamily F member 2 pseudogene 2"	""	""	"pseudogene"
"HGNC:72"	"ABCF3"	"ATP binding cassette subfamily F member 3"	"EST201864"	""	"protein-coding gene"
"HGNC:73"	"ABCG1"	"ATP binding cassette subfamily G member 1"	"ABC8"	""	"protein-coding gene"
"HGNC:74"	"ABCG2"	"ATP binding cassette subfamily G member 2 (JR blood group)"	"EST157481|MXR|BCRP|ABCP|CD338"	""	"protein-coding gene"
"HGNC:13884"	"ABCG4"	"ATP binding cassette subfamily G member 4"	"WHITE2"	""	"protein-coding gene"
"HGNC:13886"	"ABCG5"	"ATP binding cassette subfamily G member 5"	"STSL"	""	"protein-coding gene"
"HGNC:13887"	"ABCG8"	"ATP binding cassette subfamily G member 8"	"GBD4"	""	"protein-coding gene"
"HGNC:17553"	"ABHD1"	"abhydrolase domain containing 1"	"LABH1|FLJ36128"	""	"protein-coding gene"
"HGNC:18717"	"ABHD2"	"abhydrolase domain containing 2, acylglycerol lipase"	"LABH2"	""	"protein-coding gene"
"HGNC:18718"	"ABHD3"	"abhydrolase domain containing 3, phospholipase"	"LABH3"	""	"protein-coding gene"
"HGNC:20154"	"ABHD4"	"abhydrolase domain containing 4, N-acyl phospholipase B"	"FLJ12816"	""	"protein-coding gene"
"HGNC:21396"	"ABHD5"	"abhydrolase domain containing 5, lysophosphatidic acid acyltransferase"	"CGI-58|NCIE2"	""	"protein-coding gene"
"HGNC:21398"	"ABHD6"	"abhydrolase domain containing 6, acylglycerol lipase"	""	""	"protein-coding gene"
"HGNC:23759"	"ABHD8"	"abhydrolase domain containing 8"	"FLJ11743|MGC14280|MGC2512"	""	"protein-coding gene"
"HGNC:25656"	"ABHD10"	"abhydrolase domain containing 10, depalmitoylase"	"FLJ11342"	""	"protein-coding gene"
"HGNC:16407"	"ABHD11"	"abhydrolase domain containing 11"	"PP1226"	"WBSCR21"	"protein-coding gene"
"HGNC:15868"	"ABHD12"	"abhydrolase domain containing 12, lysophospholipase"	"DKFZP434P106|dJ965G21.2|BEM46L2|ABHD12A"	"C20orf22"	"protein-coding gene"
"HGNC:19837"	"ABHD12B"	"abhydrolase domain containing 12B"	"BEM46L3"	"C14orf29"	"protein-coding gene"
"HGNC:20293"	"ABHD13"	"abhydrolase domain containing 13"	"bA153I24.2|FLJ14906|BEM46L1"	"C13orf6"	"protein-coding gene"
"HGNC:24538"	"ABHD14A"	"abhydrolase domain containing 14A"	"DKFZP564O243|DORZ1"	""	"protein-coding gene"
"HGNC:38856"	"ABHD14A-ACY1"	"ABHD14A-ACY1 readthrough"	""	""	"other"
"HGNC:28235"	"ABHD14B"	"abhydrolase domain containing 14B"	"MGC15429|CIB"	""	"protein-coding gene"
"HGNC:26971"	"ABHD15"	"abhydrolase domain containing 15"	""	""	"protein-coding gene"
"HGNC:49685"	"ABHD15-AS1"	"ABHD15 antisense RNA 1"	"linc-TP53I13|lnc-TP53I13"	""	"non-coding RNA"
"HGNC:13921"	"ABHD16A"	"abhydrolase domain containing 16A, phospholipase"	"NG26|D6S82E"	"BAT5"	"protein-coding gene"
"HGNC:59161"	"ABHD16A-AS1"	"ABHD16A antisense RNA 1"	""	""	"non-coding RNA"
"HGNC:16128"	"ABHD16B"	"abhydrolase domain containing 16B"	"dJ591C20.1"	"C20orf135"	"protein-coding gene"
"HGNC:58392"	"ABHD16B-AS1"	"ABHD16B antisense RNA 1"	""	""	"non-coding RNA"
"HGNC:28756"	"ABHD17A"	"abhydrolase domain containing 17A, depalmitoylase"	"MGC5244"	"C19orf27|FAM108A1"	"protein-coding gene"
"HGNC:28394"	"ABHD17AP1"	"ABHD17A pseudogene 1"	"C1orf47"	"FAM108A2|ABHD17AP2|FAM108A3|FAM108A11P|FAM108A3P"	"pseudogene"
"HGNC:34041"	"ABHD17AP3"	"ABHD17A pseudogene 3"	""	"FAM108A4|FAM108A4P"	"pseudogene"
"HGNC:34042"	"ABHD17AP4"	"ABHD17A pseudogene 4"	""	"FAM108A5|FAM108A5P"	"pseudogene"
"HGNC:34043"	"ABHD17AP5"	"ABHD17A pseudogene 5"	""	"FAM108A6|FAM108A6P"	"pseudogene"
"HGNC:34044"	"ABHD17AP6"	"ABHD17A pseudogene 6"	""	"FAM108A7P"	"pseudogene"
"HGNC:38508"	"ABHD17AP7"	"ABHD17A pseudogene 7"	""	"FAM108A8P"	"pseudogene"
"HGNC:38509"	"ABHD17AP8"	"ABHD17A pseudogene 8"	""	"FAM108A9P"	"pseudogene"
"HGNC:38510"	"ABHD17AP9"	"ABHD17A pseudogene 9"	""	"FAM108A10P"	"pseudogene"
"HGNC:24278"	"ABHD17B"	"abhydrolase domain containing 17B, depalmitoylase"	"CGI-67"	"C9orf77|FAM108B1"	"protein-coding gene"
"HGNC:26925"	"ABHD17C"	"abhydrolase domain containing 17C, depalmitoylase"	""	"FAM108C1"	"protein-coding gene"
"HGNC:26111"	"ABHD18"	"abhydrolase domain containing 18"	"FLJ21106"	"C4orf29"	"protein-coding gene"
"HGNC:11320"	"ABI1"	"abl interactor 1"	"E3B1|ABI-1"	"SSH3BP1"	"protein-coding gene"
"HGNC:20035"	"ABI1P1"	"abl interactor 1 pseudogene 1"	""	"SSH3BP1P|ABI1P"	"pseudogene"
"HGNC:24011"	"ABI2"	"abl interactor 2"	"ABI-2|AIP-1|ABI2B|AblBP3|argBPIA|SSH3BP2"	""	"protein-coding gene"
"HGNC:29859"	"ABI3"	"ABI family member 3"	"NESH|SSH3BP3"	""	"protein-coding gene"
"HGNC:17265"	"ABI3BP"	"ABI family member 3 binding protein"	"NESHBP|DKFZP586L2024|TARSH"	""	"protein-coding gene"
"HGNC:1364"	"ABITRAM"	"actin binding transcription modulator"	"CG-8|FLJ20457|Simiate"	"C9orf6|FAM206A"	"protein-coding gene"
"HGNC:39851"	"ABITRAMP1"	"ABITRAM pseudogene 1"	""	"FAM206BP"	"pseudogene"
"HGNC:76"	"ABL1"	"ABL proto-oncogene 1, non-receptor tyrosine kinase"	"JTK7|c-ABL|p150"	"ABL"	"protein-coding gene"
"HGNC:77"	"ABL2"	"ABL proto-oncogene 2, non-receptor tyrosine kinase"	"ARG"	"ABLL"	"protein-coding gene"
"HGNC:78"	"ABLIM1"	"actin binding LIM protein 1"	"abLIM|limatin"	"LIMAB1|ABLIM"	"protein-coding gene"
"HGNC:19195"	"ABLIM2"	"actin binding LIM protein family member 2"	"KIAA1808"	""	"protein-coding gene"
"HGNC:58727"	"ABLIM2-DT"	"ABLIM2 divergent transcript"	""	""	"non-coding RNA"
"HGNC:29132"	"ABLIM3"	"actin binding LIM protein family member 3"	"KIAA0843"	""	"protein-coding gene"
"HGNC:79"	"ABO"	"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase"	"A3GALNT|A3GALT1"	""	"protein-coding gene"
"HGNC:81"	"ABR"	"ABR activator of RhoGEF and GTPase"	"MDB"	""	"protein-coding gene"
"HGNC:55674"	"ABR-AS1"	"ABR antisense RNA 1"	""	""	"non-coding RNA"
"HGNC:30655"	"ABRA"	"actin binding Rho activating protein"	"STARS"	""	"protein-coding gene"
"HGNC:21230"	"ABRACL"	"ABRA C-terminal like"	"PRO2013|HSPC280|Costars"	"C6orf115"	"protein-coding gene"
"HGNC:25829"	"ABRAXAS1"	"abraxas 1, BRCA1 A complex subunit"	"FLJ13614|ABRA1|ABRAXAS"	"CCDC98|FAM175A"	"protein-coding gene"
"HGNC:56461"	"ABRAXAS1P1"	"ABRAXAS1 pseudogene 1"	""	""	"pseudogene"
"HGNC:56462"	"ABRAXAS1P2"	"ABRAXAS1 pseudogene 2"	""	""	"pseudogene"
"HGNC:28975"	"ABRAXAS2"	"abraxas 2, BRISC complex subunit"	"Em:AC068896.4|ABRO1"	"KIAA0157|FAM175B"	"protein-coding gene"
"HGNC:17369"	"ABT1"	"activator of basal transcription 1"	"Esf2"	""	"protein-coding gene"
"HGNC:39557"	"ABT1P1"	"activator of basal transcription 1 pseudogene 1"	""	""	"pseudogene"
"HGNC:18275"	"ABTB1"	"ankyrin repeat and BTB domain containing 1"	"BPOZ|EF1ABP|Btb3|BTBD21|BPOZ-2"	""	"protein-coding gene"
"HGNC:23842"	"ABTB2"	"ankyrin repeat and BTB domain containing 2"	"DKFZP586C1619|BTBD22|ABTB2A"	""	"protein-coding gene"
"HGNC:23844"	"ABTB3"	"ankyrin repeat and BTB domain containing 3"	"FLJ33957|ABTB2B"	"BTBD11"	"protein-coding gene"
"HGNC:82"	"ACAA1"	"acetyl-CoA acyltransferase 1"	"Lnc-Myd88"	""	"protein-coding gene"
"HGNC:83"	"ACAA2"	"acetyl-CoA acyltransferase 2"	"DSAEC"	""	"protein-coding gene"
"HGNC:55880"	"ACAA2P1"	"ACAA2 pseudogene 1"	""	""	"pseudogene"
"HGNC:84"	"ACACA"	"acetyl-CoA carboxylase alpha"	"ACC1|ACC-alpha|ACCA|ACCalpha|ACACalpha|Acac1|hACC1"	"ACAC|ACC"	"protein-coding gene"
"HGNC:85"	"ACACB"	"acetyl-CoA carboxylase beta"	"HACC275|ACC2|ACCB|ACC-beta|ACCbeta|ACACbeta"	""	"protein-coding gene"
"HGNC:87"	"ACAD8"	"acyl-CoA dehydrogenase family member 8"	""	""	"protein-coding gene"
"HGNC:21497"	"ACAD9"	"acyl-CoA dehydrogenase family member 9"	"NPD002|MGC14452"	""	"protein-coding gene"
"HGNC:56086"	"ACAD9-DT"	"ACAD9 divergent transcript"	""	""	"non-coding RNA"
"HGNC:21597"	"ACAD10"	"acyl-CoA dehydrogenase family member 10"	"MGC5601"	""	"protein-coding gene"
"HGNC:30211"	"ACAD11"	"acyl-CoA dehydrogenase family member 11"	"FLJ12592"	""	"protein-coding gene"
"HGNC:88"	"ACADL"	"acyl-CoA dehydrogenase long chain"	"LCAD|ACAD4"	""	"protein-coding gene"
"HGNC:89"	"ACADM"	"acyl-CoA dehydrogenase medium chain"	"MCAD|MCADH|ACAD1"	""	"protein-coding gene"
"HGNC:90"	"ACADS"	"acyl-CoA dehydrogenase short chain"	"SCAD|ACAD3"	""	"protein-coding gene"
"HGNC:91"	"ACADSB"	"acyl-CoA dehydrogenase short/branched chain"	"SBCAD|ACAD7"	""	"protein-coding gene"
"HGNC:92"	"ACADVL"	"acyl-CoA dehydrogenase very long chain"	"VLCAD|LCACD|ACAD6"	""	"protein-coding gene"
"HGNC:319"	"ACAN"	"aggrecan"	"CSPGCP"	"MSK16|CSPG1|AGC1"	"protein-coding gene"
"HGNC:16467"	"ACAP1"	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1"	"KIAA0050"	"CENTB1"	"protein-coding gene"
"HGNC:16469"	"ACAP2"	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2"	"KIAA0041|CNT-B2"	"CENTB2"	"protein-coding gene"
"HGNC:41426"	"ACAP2-IT1"	"ACAP2 intronic transcript 1"	""	""	"non-coding RNA"
"HGNC:16754"	"ACAP3"	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"	"KIAA1716"	"CENTB5"	"protein-coding gene"
"HGNC:93"	"ACAT1"	"acetyl-CoA acetyltransferase 1"	"THIL"	"ACAT"	"protein-coding gene"
"HGNC:94"	"ACAT2"	"acetyl-CoA acetyltransferase 2"	""	""	"protein-coding gene"
"HGNC:15453"	"ACBD3"	"acyl-CoA binding domain containing 3"	"GCP60|PAP7"	"GOLPH1|GOCAP1"	"protein-coding gene"
"HGNC:40701"	"ACBD3-AS1"	"ACBD3 antisense RNA 1"	"RP11-275I14.4"	""	"non-coding RNA"
"HGNC:23337"	"ACBD4"	"acyl-CoA binding domain containing 4"	"FLJ13322"	""	"protein-coding gene"
"HGNC:23338"	"ACBD5"	"acyl-CoA binding domain containing 5"	"DKFZp434A2417|KIAA1996"	""	"protein-coding gene"
"HGNC:23339"	"ACBD6"	"acyl-CoA binding domain containing 6"	"MGC2404"	""	"protein-coding gene"
"HGNC:17715"	"ACBD7"	"acyl-CoA binding domain containing 7"	"FLJ38219|bA455B2.2"	""	"protein-coding gene"
"HGNC:58659"	"ACBD7P1"	"ACBD7 pseudogene 1"	""	""	"pseudogene"
"HGNC:23989"	"ACCS"	"1-aminocyclopropane-1-carboxylate synthase homolog (inactive)"	"PHACS|ACS"	""	"protein-coding gene"
"HGNC:34391"	"ACCSL"	"1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like"	""	""	"protein-coding gene"
"HGNC:56899"	"ACCSLP1"	"ACCSL pseudogene 1"	""	""	"pseudogene"
"HGNC:25070"	"ACD"	"ACD shelterin complex subunit and telomerase recruitment factor"	"Ptop|Pip1|Tpp1|Tint1"	""	"protein-coding gene"
"HGNC:2707"	"ACE"	"angiotensin I converting enzyme"	"ACE1|CD143"	"DCP1"	"protein-coding gene"
"HGNC:13557"	"ACE2"	"angiotensin converting enzyme 2"	"ACEH"	""	"protein-coding gene"
"HGNC:56255"	"ACE2-DT"	"ACE2 divergent transcript"	"GS1-594A7.3"	""	"non-coding RNA"
"HGNC:44365"	"ACE3P"	"angiotensin I converting enzyme 3, pseudogene"	""	""	"pseudogene"
"HGNC:18356"	"ACER1"	"alkaline ceramidase 1"	""	"ASAH3"	"protein-coding gene"
"HGNC:23675"	"ACER2"	"alkaline ceramidase 2"	"FLJ41587|ALKCDase2"	"ASAH3L"	"protein-coding gene"
"HGNC:54674"	"ACER2P1"	"ACER2 pseudogene 1"	""	""	"pseudogene"
"HGNC:16066"	"ACER3"	"alkaline ceramidase 3"	"FLJ11238|APHC"	"PHCA"	"protein-coding gene"
"HGNC:58067"	"ACER3-AS1"	"ACER antisense RNA 1"	""	""	"non-coding RNA"
"HGNC:108"	"ACHE"	"acetylcholinesterase (Yt blood group)"	""	"YT"	"protein-coding gene"
"HGNC:17066"	"ACIN1"	"apoptotic chromatin condensation inducer 1"	"KIAA0670|fSAP152"	"ACINUS"	"protein-coding gene"
"HGNC:4035"	"ACKR1"	"atypical chemokine receptor 1 (Duffy blood group)"	"CCBP1|GPD|Dfy|CD234"	"FY|DARC"	"protein-coding gene"
"HGNC:1565"	"ACKR2"	"atypical chemokine receptor 2"	"CCR10|D6|CCR9"	"CMKBR9|CCBP2"	"protein-coding gene"
"HGNC:23692"	"ACKR3"	"atypical chemokine receptor 3"	"RDC1|GPR159"	"CMKOR1|CXCR7"	"protein-coding gene"
