"hgnc_id"	"symbol"	"name"	"alias_symbol"	"prev_symbol"	"locus_group"
"HGNC:30224"	"SLC52A2"	"solute carrier family 52 member 2"	"FLJ11856|PAR1|GPCR41|D15Ertd747e|RFVT2|hRFT3|RFT3|HuPAR-1"	"GPR172A"	"protein-coding gene"
"HGNC:16187"	"SLC52A3"	"solute carrier family 52 member 3"	"bA371L19.1|hRFT2|RFVT3|RFT2"	"C20orf54"	"protein-coding gene"
"HGNC:25433"	"SLC60A1"	"solute carrier family 60 member 1"	"DKFZp761N1114|FLJ34577|UNQ3064|FLJ25004"	"MFSD4|MFSD4A"	"protein-coding gene"
"HGNC:27632"	"SLC60A1-AS1"	"SLC60A1 antisense RNA 1"	""	"MFSD4A-AS1"	"non-coding RNA"
"HGNC:21053"	"SLC60A2"	"solute carrier family 60 member 2"	"MGC33953"	"KIAA1919|MFSD4B"	"protein-coding gene"
"HGNC:55773"	"SLC60A2-DT"	"SLC60A2 divergent transcript"	""	"MFSD4B-DT"	"non-coding RNA"
"HGNC:50626"	"SLC60A2P1"	"SLC60A2 pseudogene 1"	""	"MFSD4BP1"	"pseudogene"
"HGNC:28156"	"SLC61A1"	"solute carrier family 61 member 1"	"MGC11308|HsMOT2"	"MFSD5"	"protein-coding gene"
"HGNC:26001"	"SLC66A1"	"solute carrier family 66 member 1"	"FLJ20320|LAAT-1|LAAT1"	"PQLC2"	"protein-coding gene"
"HGNC:25146"	"SLC66A1LP"	"solute carrier family 66 member 1 like, pseudogene"	""	"C3orf55|PQLC2L|SLC66A1L"	"pseudogene"
"HGNC:26188"	"SLC66A2"	"solute carrier family 66 member 2"	"FLJ22378"	"PQLC1"	"protein-coding gene"
"HGNC:43986"	"SLC66A2P1"	"SLC66A2 pseudogene 1"	""	"PQLC1P1"	"pseudogene"
"HGNC:43987"	"SLC66A2P2"	"SLC66A2 pseudogene 2"	""	"PQLC1P2"	"pseudogene"
"HGNC:28503"	"SLC66A3"	"solute carrier family 66 member 3"	"MGC33602"	"C2orf22|PQLC3"	"protein-coding gene"
"HGNC:10964"	"SLC67A1"	"solute carrier family 67 member 1"	"BWR1A|TSSC5|ITM"	"IMPT1|ORCTL2|BWSCR1A|SLC22A18|SLC22A1L"	"protein-coding gene"
"HGNC:10965"	"SLC67A1-AS"	"SLC67A1 antisense RNA"	"BWR1B|p27-BWR1B|SLC22A18-AS1"	"BWSCR1B|ORCTL2S|SLC22A1LS|SLC22A18AS"	"non-coding RNA"
"HGNC:28158"	"SLC67A2"	"solute carrier family 67 member 2"	"MGC11332"	"MFSD9"	"protein-coding gene"
"HGNC:26196"	"SLC68A1"	"solute carrier family 68 member 1"	"FLJ22529|bA18I14.8"	"C10orf77|TMEM180|MFSD13A"	"protein-coding gene"
"HGNC:52163"	"SLC68A2P"	"solute carrier family 68 member 2, pseudogene"	""	"MFSD13B"	"pseudogene"
"HGNC:23363"	"SLC71A1"	"solute carrier family 71 member 1"	"DKFZP564L0864"	"HIAT1|MFSD14A"	"protein-coding gene"
"HGNC:58237"	"SLC71A1-AS1"	"SLC71A1 antisense RNA 1"	""	"MFSD14A-AS1"	"non-coding RNA"
"HGNC:23376"	"SLC71A2"	"solute carrier family 71 member 2"	"FLJ14753"	"HIATL1|MFSD14B"	"protein-coding gene"
"HGNC:23672"	"SLC71A3P"	"solute carrier family 71 member 3, pseudogene"	"MGC12945"	"HIATL2|MFSD14C|MFSD14CP"	"pseudogene"
"HGNC:16894"	"SLC75A1"	"solute carrier family 75 member 1"	"IT10C3|TETRAN|SLC75A1"	"MFSD10"	"protein-coding gene"
"HGNC:10956"	"SLCO1A2"	"solute carrier organic anion transporter family member 1A2"	"OATP|OATP1A2|OATP-A"	"SLC21A3"	"protein-coding gene"
"HGNC:10959"	"SLCO1B1"	"solute carrier organic anion transporter family member 1B1"	"OATP-C|LST-1|OATP1B1"	"SLC21A6"	"protein-coding gene"
"HGNC:10961"	"SLCO1B3"	"solute carrier organic anion transporter family member 1B3"	"OATP8|OATP1B3"	"SLC21A8"	"protein-coding gene"
"HGNC:54403"	"SLCO1B3-SLCO1B7"	"SLCO1B3-SLCO1B7 readthrough"	"OATP1B3-1B7|LST-3TM12"	""	"other"
"HGNC:32934"	"SLCO1B7"	"solute carrier organic anion transporter family member 1B7 (putative)"	"LST3|SLC21A21"	""	"protein-coding gene"
"HGNC:13819"	"SLCO1C1"	"solute carrier organic anion transporter family member 1C1"	"OATP-F|OATP1C1|OATP1"	"SLC21A14"	"protein-coding gene"
"HGNC:10955"	"SLCO2A1"	"solute carrier organic anion transporter family member 2A1"	"PGT|OATP2A1"	"SLC21A2|MATR1"	"protein-coding gene"
"HGNC:10962"	"SLCO2B1"	"solute carrier organic anion transporter family member 2B1"	"OATP-B|OATP2B1"	"SLC21A9"	"protein-coding gene"
"HGNC:10952"	"SLCO3A1"	"solute carrier organic anion transporter family member 3A1"	"OATP-D|OATP3A1"	"SLC21A11"	"protein-coding gene"
"HGNC:10953"	"SLCO4A1"	"solute carrier organic anion transporter family member 4A1"	"OATP-E|OATP4A1"	"SLC21A12"	"protein-coding gene"
"HGNC:40537"	"SLCO4A1-AS1"	"SLCO4A1 antisense RNA 1"	"DAMER"	""	"non-coding RNA"
"HGNC:56052"	"SLCO4A1-AS2"	"SLCO4A1 antisense RNA 2"	""	""	"non-coding RNA"
"HGNC:23612"	"SLCO4C1"	"solute carrier organic anion transporter family member 4C1"	"SLC21A20|OATP4C1|OATPX|OATP-H"	""	"protein-coding gene"
"HGNC:19046"	"SLCO5A1"	"solute carrier organic anion transporter family member 5A1"	"OATPRP4|OATP-J|OATP5A1"	"SLC21A15"	"protein-coding gene"
"HGNC:55595"	"SLCO5A1-AS1"	"SLCO5A1 antisense RNA 1"	""	""	"non-coding RNA"
"HGNC:23613"	"SLCO6A1"	"solute carrier organic anion transporter family member 6A1"	"OATP6A1|OATPY|MGC26949|CT48"	""	"protein-coding gene"
"HGNC:59103"	"SLCO6A1-DT"	"SLCO6A1 divergent transcript"	""	""	"non-coding RNA"
"HGNC:54824"	"SLEAR"	"STAT1 regulated ILF2 complex interacting lncRNA"	"FLJ42969"	""	"non-coding RNA"
"HGNC:25408"	"SLF1"	"SMC5/6 complex localization factor 1"	"DKFZp761C121|DKFZp564C0469|BRCTx|hNSE5"	"BRCTD1|ANKRD32"	"protein-coding gene"
"HGNC:17814"	"SLF2"	"SMC5/6 complex localization factor 2"	"FLJ10512|FLJ25012|hNSE6"	"C10orf6|FAM178A"	"protein-coding gene"
"HGNC:28286"	"SLFN5"	"schlafen family member 5"	"MGC19764"	""	"protein-coding gene"
"HGNC:26633"	"SLFN11"	"schlafen family member 11"	"FLJ34922"	""	"protein-coding gene"
"HGNC:25500"	"SLFN12"	"schlafen family member 12"	"FLJ10260"	""	"protein-coding gene"
"HGNC:33920"	"SLFN12L"	"schlafen family member 12 like"	""	""	"protein-coding gene"
"HGNC:26481"	"SLFN13"	"schlafen family member 13"	"FLJ31952"	""	"protein-coding gene"
"HGNC:32689"	"SLFN14"	"schlafen family member 14"	""	""	"protein-coding gene"
"HGNC:26313"	"SLFNL1"	"schlafen like 1"	"FLJ23878"	""	"protein-coding gene"
"HGNC:44126"	"SLFNL1-AS1"	"SLFNL1 antisense RNA 1"	""	""	"non-coding RNA"
"HGNC:20495"	"SLIRP"	"SRA stem-loop interacting RNA binding protein"	"DC50"	"C14orf156"	"protein-coding gene"
"HGNC:26385"	"SLIRP-OT1"	"SLIRP overlapping transcript 1"	"FLJ25976"	"C14orf178"	"non-coding RNA"
"HGNC:55149"	"SLIRPP1"	"SLIRP. pseudogene 1"	""	""	"pseudogene"
"HGNC:55150"	"SLIRPP2"	"SLIRP. pseudogene 2"	""	""	"pseudogene"
"HGNC:11085"	"SLIT1"	"slit guidance ligand 1"	"MEGF4|Slit-1|SLIT3"	"SLIL1"	"protein-coding gene"
"HGNC:51198"	"SLIT1-AS1"	"SLIT1 antisense RNA 1"	""	""	"non-coding RNA"
"HGNC:11086"	"SLIT2"	"slit guidance ligand 2"	"Slit-2"	"SLIL3"	"protein-coding gene"
"HGNC:58754"	"SLIT2-AS1"	"SLIT2 antisense RNA 1"	""	""	"non-coding RNA"
"HGNC:41383"	"SLIT2-IT1"	"SLIT2 intronic transcript 1"	""	""	"non-coding RNA"
"HGNC:11087"	"SLIT3"	"slit guidance ligand 3"	"slit2|MEGF5|SLIT1|Slit-3"	"SLIL2"	"protein-coding gene"
"HGNC:40553"	"SLIT3-AS1"	"SLIT3 antisense RNA 1"	""	""	"non-coding RNA"
"HGNC:40551"	"SLIT3-AS2"	"SLIT3 antisense RNA 2"	""	""	"non-coding RNA"
"HGNC:20297"	"SLITRK1"	"SLIT and NTRK like family member 1"	"KIAA1910"	"LRRC12"	"protein-coding gene"
"HGNC:13449"	"SLITRK2"	"SLIT and NTRK like family member 2"	"KIAA1854|CXorf2"	"SLITL1|TMEM257|CXorf1"	"protein-coding gene"
"HGNC:23501"	"SLITRK3"	"SLIT and NTRK like family member 3"	"KIAA0848"	""	"protein-coding gene"
"HGNC:23502"	"SLITRK4"	"SLIT and NTRK like family member 4"	"DKFZp547M2010"	""	"protein-coding gene"
"HGNC:20295"	"SLITRK5"	"SLIT and NTRK like family member 5"	"bA364G4.2|KIAA0918"	"LRRC11"	"protein-coding gene"
"HGNC:23503"	"SLITRK6"	"SLIT and NTRK like family member 6"	"FLJ22774"	""	"protein-coding gene"
"HGNC:11088"	"SLK"	"STE20 like kinase"	"STK2|se20-9|KIAA0204"	""	"protein-coding gene"
"HGNC:16643"	"SLMAP"	"sarcolemma associated protein"	"SLAP|KIAA1601"	""	"protein-coding gene"
"HGNC:11089"	"SLN"	"sarcolipin"	"MGC12301|MGC125854|MGC125855"	""	"protein-coding gene"
"HGNC:11092"	"SLPI"	"secretory leukocyte peptidase inhibitor"	"HUSI-I|ALK1|ALP|BLPI|HUSI|WAP4|WFDC4"	""	"protein-coding gene"
"HGNC:20709"	"SLTM"	"SAFB like transcription modulator"	"Met|FLJ13213"	""	"protein-coding gene"
"HGNC:16939"	"SLU7"	"spliceosome associated SLU7"	"9G8"	""	"protein-coding gene"
"HGNC:18746"	"SLURP1"	"secreted LY6/PLAUR domain containing 1"	"ARS|ANUP|MDM|ArsB|LY6LS|LY6-MT"	""	"protein-coding gene"
"HGNC:25549"	"SLURP2"	"secreted LY6/PLAUR domain containing 2"	""	""	"protein-coding gene"
"HGNC:58427"	"SLURP2-AS1"	"SLURP2 antisense RNA 1"	""	""	"non-coding RNA"
"HGNC:20922"	"SLX1A"	"structure-specific endonuclease subunit SLX1A"	""	"GIYD1"	"protein-coding gene"
"HGNC:44437"	"SLX1A-SULT1A3"	"SLX1A-SULT1A3 readthrough (NMD candidate)"	""	""	"other"
"HGNC:28748"	"SLX1B"	"structure-specific endonuclease subunit SLX1B"	"MGC5178"	"GIYD2"	"protein-coding gene"
"HGNC:48353"	"SLX1B-SULT1A4"	"SLX1B-SULT1A4 readthrough (NMD candidate)"	""	""	"other"
